Age,Gender,Date,Outcome
13.5,Male,2021-03-16T04:24:00+00:00,False
29.5,Male,2021-03-16T06:05:46+00:00,False
21.0,Male,2021-03-16T07:11:48+00:00,False
21.0,Male,2021-03-16T07:51:32+00:00,False
29.5,Male,2021-03-16T08:06:02+00:00,False
21.0,Male,2021-03-16T08:26:28+00:00,True
21.0,Male,2021-03-16T12:06:03+00:00,False
21.0,Female,2021-03-16T12:12:52+00:00,False
21.0,Male,2021-03-17T02:18:14+00:00,False
21.0,Male,2021-03-17T02:21:06+00:00,False
21.0,Male,2021-03-17T04:57:47+00:00,False
29.5,Male,2021-03-17T05:07:08+00:00,False
29.5,Female,2021-03-17T05:14:06+00:00,True
21.0,Male,2021-03-17T06:57:13+00:00,False
,Male,2021-03-17T07:17:25+00:00,False
29.5,Male,2021-03-17T12:43:27+00:00,False
29.5,Male,2021-03-18T02:53:22+00:00,True
21.0,Male,2021-03-18T03:08:26+00:00,False
,Female,2021-03-18T04:08:24+00:00,False
21.0,Male,2021-03-18T06:56:56+00:00,False
21.0,Male,2021-03-18T07:08:01+00:00,False
21.0,Male,2021-03-18T07:11:10+00:00,False
29.5,Male,2021-03-18T07:53:15+00:00,False
21.0,Male,2021-03-18T08:46:46+00:00,False
21.0,Male,2021-03-18T11:23:19+00:00,True
29.5,Male,2021-03-19T01:23:37+00:00,False
21.0,Male,2021-03-19T01:30:17+00:00,False
29.5,Male,2021-03-19T02:07:20+00:00,True
29.5,Male,2021-03-19T04:05:07+00:00,False
29.5,Male,2021-03-19T04:26:32+00:00,False
,Male,2021-03-19T05:35:52+00:00,False
13.5,Male,2021-03-19T05:41:18+00:00,False
42.5,Female,2021-03-19T06:30:05+00:00,True
21.0,Male,2021-03-19T06:39:35+00:00,False
21.0,Male,2021-03-19T07:40:35+00:00,False
29.5,Male,2021-03-19T11:51:41+00:00,False
29.5,Male,2021-03-19T12:56:01+00:00,False
21.0,Male,2021-03-20T01:41:38+00:00,True
13.5,Male,2021-03-20T02:18:21+00:00,True
29.5,Male,2021-03-20T05:10:06+00:00,False
13.5,Male,2021-03-20T10:27:23+00:00,False
29.5,Male,2021-03-20T11:43:00+00:00,False
13.5,Male,2021-03-21T02:16:48+00:00,False
21.0,Male,2021-03-21T02:37:22+00:00,True
